,title,release_date,director,writers,actors,genres,plot_keywords,plot_summary,tag_lines,production_company,primary_language,runtime,color,country,sound_mix,meta_score,user_rating,budget,opening_weekend_date,opening_weekend_revenue,gross_revenue_date,gross_revenue,id,open_week_rev_currency,Date_weekend,Date_GrossRev,Date_released
11,Nerve,27July2016, ,Jeanne Ryan;Jessica Sharzer,Emma Roberts;Dave Franco;Emily Meade, Adventure; Crime; Thriller,game;dare;online game;motorcycle;knocked out,"A high school senior finds herself immersed in an online game of truth or dare, where her every move starts to become manipulated by an anonymous community of ""watchers.""",Are you a watcher or a player?,Allison Shearmur Productions;Keep Your Head;Lionsgate,English,96 min,Color,USA,DTS;Dolby Digital,58,6.7,20000000.0,29July2016,9445456.0,30September2016,38562379.0,12,dollar,2016-07-29,2016-09-30,2016-07-27
12,The Magnificent Seven,23September2016,Antoine Fuqua,Akira Kurosawa;Shinobu Hashimoto,Denzel Washington;Chris Pratt;Ethan Hawke, Action; Adventure; Western,die hard scenario;remake;church;industrialist;army,Seven gun men in the old west gradually come together to help a poor village against savage thieves.,Justice has a number.,Metro-Goldwyn-Mayer (MGM);Columbia Pictures;LStar Capital,English,133 min,Color,USA,Dolby Digital,54,7.1,90000000.0,23September2016,34703397.0,25October2016,89481904.0,13,dollar,2016-09-23,2016-10-25,2016-09-23
14,Bad Moms,29July2016, ,Jon Lucas;Scott Moore,Mila Kunis;Kathryn Hahn;Kristen Bell, Comedy,misandry;lesbian kiss;mom;pta;scene during end credits,"When three overworked and under-appreciated moms are pushed beyond their limits, they ditch their conventional responsibilities for a jolt of long overdue freedom, fun, and comedic self-indulgence.",Party Like a Mother,STX Entertainment;Huayi Brothers Media;Block Entertainment,English,100 min,Color,USA,Dolby Digital,60,6.4,20000000.0,29July2016,23817340.0,14October2016,113078694.0,15,dollar,2016-07-29,2016-10-14,2016-07-29
16,X-Men: Apocalypse,27May2016,Bryan Singer,Simon Kinberg;Bryan Singer,James McAvoy;Michael Fassbender;Jennifer Lawrence, Action; Adventure; Sci-Fi,mutant;x men;superhero team;superhero;year 1983,"After the re-emergence of the world's first mutant, world-destroyer Apocalypse, the X-Men must unite to defeat his extinction level plan.",Defend,Twentieth Century Fox Film Corporation;Marvel Entertainment;TSG Entertainment,English,144 min,Color,USA,Dolby Atmos,52,7.2,178000000.0,27May2016,65000000.0,22July2016,155333829.0,17,dollar,2016-05-27,2016-07-22,2016-05-27
17,Ouija: Origin of Evil,21October2016,Mike Flanagan,Mike Flanagan;Jeff Howard,Elizabeth Reaser;Lulu Wilson;Annalise Basso, Horror; Thriller,seance;prequel;based on toy;ouija board;supernatural,"In 1965 Los Angeles, a widowed mother and her two daughters add a new stunt to bolster their seance scam business and unwittingly invite authentic evil into their home. When the youngest daughter is overtaken by a merciless spirit, the family confronts unthinkable fears to save her and send her possessor back to the other side.",No telling what you'll see.,Allspark Pictures;Blumhouse Productions;Hasbro,English,99 min,Color,USA,Datasat;Dolby Digital;Dolby Atmos;DTS;SDDS, ,6.8,9000000.0,21October2016,14065500.0,25October2016,16074495.0,18,dollar,2016-10-21,2016-10-25,2016-10-21
19,Independence Day: Resurgence,24June2016,Roland Emmerich,Nicolas Wright;James A. Woods,Liam Hemsworth;Jeff Goldblum;Bill Pullman, Action; Adventure; Sci-Fi,alien;earth;mothership;battle;independence day,"Two decades after the first Independence Day invasion, Earth is faced with a new extra-Solar threat. But will mankind's new space defenses be enough?",20 Years Of Evolution,Centropolis Entertainment;Stereo D;TSG Entertainment,English,120 min,Color,USA,Dolby Digital;Dolby Atmos;12-Track Digital Sound;DTS-ES, ,5.4,165000000.0,24June2016,41039944.0,9September2016,103137295.0,20,dollar,2016-06-24,2016-09-09,2016-06-24
20,Mascots,13October2016,Christopher Guest,Christopher Guest;Jim Piddock,Zach Woods;Wayne Wilderson;Sarah Baker, Comedy,mascot;television producer;legacy;dance;armadillo,A look into the world of competitive mascots.,From the sidelines to the spotlight., ,English,89 min,Color,USA, ,57,5.9,20000000.0,,,,,21,dollar,,,2016-10-13
21,Kevin Hart: What Now?,14October2016, ,Kevin Hart;Joey Wells,Kevin Hart;Don Cheadle;Halle Berry, Documentary; Comedy,reenactment;scene during end credits;rape joke;telling a joke;storytelling,"Comedian Kevin Hart performs in front of a crowd of 50,000 people at Philadelphia's outdoor venue, Lincoln Financial Field.",The comedy event of the year,Hartbeat Productions;Universal Pictures,English,96 min,Color,USA,Dolby Digital,60,5.6,9900000.0,14October2016,11767210.0,25October2016,19687180.0,22,dollar,2016-10-14,2016-10-25,2016-10-14
22,The Legend of Tarzan,1July2016,David Yates,Adam Cozad;Craig Brewer,Alexander Skarsgård;Rory J. Saper;Christian Stevens, Action; Adventure; Drama; Romance,africa;tarzan;jungle;capture;slavery,"Tarzan, having acclimated to life in London, is called back to his former home in the jungle to investigate the activities at a mining encampment.",Human. Nature.,Dark Horse Entertainment;Beagle Pug Films;Jerry Weintraub Productions,English,110 min,Color,USA,Datasat;Dolby Digital;Dolby Atmos;Auro 11.1,44,6.4,180000000.0,1July2016,38135000.0,9September2016,126585313.0,23,dollar,2016-07-01,2016-09-09,2016-07-01
23,Deadpool,12February2016,Tim Miller,Rhett Reese;Paul Wernick,Ryan Reynolds;Morena Baccarin;T.J. Miller, Action; Adventure; Comedy; Romance; Sci-Fi,breaking the fourth wall;self healing;based on comic book;mercenary;mutant,A fast-talking mercenary with a morbid sense of humor is subjected to a rogue experiment that leaves him with accelerated healing powers and a quest for revenge.,Justice has a new face,Twentieth Century Fox Film Corporation;Marvel Entertainment;Kinberg Genre,English,108 min,Color,USA,Dolby;Dolby Atmos;Dolby Surround 7.1, ,8.1,58000000.0,12February2016,135050000.0,3June2016,363024263.0,24,dollar,2016-02-12,2016-06-03,2016-02-12
