,title,release_date,director,writers,actors,genres,plot_keywords,plot_summary,tag_lines,production_company,primary_language,runtime,color,country,sound_mix,meta_score,user_rating,budget,opening_weekend_date,opening_weekend_revenue,gross_revenue_date,gross_revenue,id,open_week_rev_currency,Date_weekend,Date_GrossRev,Date_released
959,Hotel Transylvania 2,25September2015,Genndy Tartakovsky,Robert Smigel;Adam Sandler,Adam Sandler;Andy Samberg;Selena Gomez, Animation; Comedy; Family; Fantasy,hotel;california;vampire;dracula;transylvania,"Dracula and his friends try to bring out the monster in his half human, half vampire grandson in order to keep Mavis from leaving the hotel.",They're back to raise a little terror,Columbia Pictures;LStar Capital;Media Rights Capital (MRC),English,89 min,Color,USA,Datasat;Dolby Digital,44,6.7,80000000.0,25September2015,48464322.0,26February2016,169692572.0,960,dollar,2015-09-25,2016-02-26,2015-09-25
960,Magic Mike XXL,1July2015,Gregory Jacobs,Reid Carolin;Reid Carolin,Channing Tatum;Joe Manganiello;Matt Bomer, Comedy; Drama; Music,male objectification;stripper;muscular;male bonding;male friendship,"Three years after Mike bowed out of the stripper life at the top of his game, he and the remaining Kings of Tampa hit the road to Myrtle Beach to put on one last blow-out performance.",Back to the grind.,Warner Bros.;Iron Horse Entertainment (II),English,115 min,Color,USA,SDDS;Dolby Digital;Datasat;Dolby Atmos,60,5.7,14800000.0,3July2015,11600000.0,18September2015,66009973.0,961,dollar,2015-07-03,2015-09-18,2015-07-01
961,Ted 2,26June2015,Seth MacFarlane,Seth MacFarlane;Alec Sulkin,Mark Wahlberg;Seth MacFarlane;Amanda Seyfried, Comedy,lawyer;fight;scene after end credits;trial;talking teddy bear,"Newlywed couple Ted and Tami-Lynn want to have a baby, but in order to qualify to be a parent, Ted will have to prove he's a person in a court of law.",Thunder buddies for life.,Universal Pictures;Media Rights Capital (MRC);Fuzzy Door Productions,English,115 min,Color,USA,Dolby Digital;Datasat,48,6.4,68000000.0,26June2015,33507870.0,21August2015,81257500.0,962,dollar,2015-06-26,2015-08-21,2015-06-26
962,Chappie,6March2015,Neill Blomkamp,Neill Blomkamp;Terri Tatchell,Sharlto Copley;Dev Patel;Hugh Jackman, Action; Crime; Drama; Sci-Fi; Thriller,artificial intelligence;robot;future;mind uploading;consciousness,"In the near future, crime is patrolled by a mechanized police force. When one police droid, Chappie, is stolen and given new programming, he becomes the first robot with the ability to think and feel for himself.",Humanity's last hope isn't human.,Columbia Pictures;Media Rights Capital (MRC);LStar Capital,English,120 min,Color,USA,Dolby Digital;Datasat;SDDS,41,6.9,49000000.0,6March2015,13346782.0,1May2015,31569268.0,963,dollar,2015-03-06,2015-05-01,2015-03-06
963,Minions,10July2015, , ,Sandra Bullock;Jon Hamm;Michael Keaton, Animation; Action; Adventure; Comedy; Family,minion;villain;super villain;antarctica;queen,"Minions Stuart, Kevin and Bob are recruited by Scarlet Overkill, a super-villain who, alongside her inventor husband Herb, hatches a plot to take over the world.","Meet Stuart, Kevin & Bob",Illumination Entertainment;Universal Pictures,English,91 min,Color,USA,Datasat;SDDS;Dolby Digital;Dolby Atmos;Auro 11.1,56,6.4,74000000.0,10July2015,115200000.0,11December2015,336029560.0,964,dollar,2015-07-10,2015-12-11,2015-07-10
967,The Ridiculous 6,11December2015,Frank Coraci,Tim Herlihy;Adam Sandler,Adam Sandler;Terry Crews;Jorge Garcia, Comedy; Western,baseball;bank robbery;white raised as indian;apache;american indian stereotype,"An outlaw who was raised by Native Americans discovers that he has five half-brothers; together the men go on a mission to find their wayward, deadbeat dad.",,Happy Madison Productions,English,119 min,Color,USA, , ,4.9,,,,,,968,dollar,,,2015-12-11
968,Me and Earl and the Dying Girl,1July2015,Alfonso Gomez-Rejon,Jesse Andrews;Jesse Andrews,Thomas Mann;RJ Cyler;Olivia Cooke, Comedy; Drama,leukemia;teenage boy;aspiring filmmaker;high school;terminal illness,"High schooler Greg, who spends most of his time making parodies of classic movies with his co-worker Earl, finds his outlook forever altered after befriending a classmate who has just been diagnosed with cancer.",This is the poster that tells you a little friendship never killed anyone.,Indian Paintbrush,English,105 min,Color,USA,Dolby Digital, ,7.8,8000000.0,19June2015,364039.0,28August2015,6743776.0,969,dollar,2015-06-19,2015-08-28,2015-07-01
969,Entourage,3June2015,Doug Ellin,Doug Ellin;Doug Ellin,Adrian Grenier;Kevin Connolly;Jerry Ferrara, Comedy,box office flop;the golden globes;reference to paris hilton;reference to kim kardashian;arm sling,"Movie star Vincent Chase, together with his boys Eric, Turtle, and Johnny, are back - and back in business with super agent-turned-studio head Ari Gold on a risky project that will serve as Vince's directorial debut.",The ride ain't over,Warner Bros.;Home Box Office (HBO);RatPac Entertainment,English,104 min,Color,USA,Dolby Digital;Datasat, ,6.6,30000000.0,5June2015,10283250.0,7August2015,32361416.0,970,dollar,2015-06-05,2015-08-07,2015-06-03
970,Hitman: Agent 47,21August2015,Aleksander Bach,Skip Woods;Michael Finch,Rupert Friend;Hannah Ware;Zachary Quinto, Action; Crime; Thriller,based on video game;assassin;hitman;assassination;re boot,An assassin teams up with a woman to help her find her father and uncover the mysteries of her ancestry.,,Twentieth Century Fox Film Corporation;TSG Entertainment;Fox International Productions,English,96 min,Color,USA,Dolby Digital, ,5.7,35000000.0,21August2015,8326530.0,9October2015,22464430.0,971,dollar,2015-08-21,2015-10-09,2015-08-21
971,Secret in Their Eyes,20November2015,Billy Ray,Billy Ray;Juan José Campanella,Chiwetel Ejiofor;Nicole Kidman;Julia Roberts, Crime; Drama; Mystery; Thriller,investigator;secret;police;grave digging;digging a grave,"A tight-knit team of rising investigators, along with their supervisor, is suddenly torn apart when they discover that one of their own teenage daughters has been brutally murdered.",Don't look back,Gran Via Productions;IM Global;Ingenious Media,English, ,Color,USA,Datasat;Dolby Digital,45,6.2,19500000.0,,,,,972,dollar,,,2015-11-20
974,Trumbo,27November2015,Jay Roach,John McNamara;Bruce Cook,Bryan Cranston;Diane Lane;Helen Mirren, Biography; Drama,film industry;screenwriter;hedda hopper;blacklist;gossip columnist,"In 1947, ;Dalton Trumbo; was Hollywood's top screenwriter, until he and other artists were jailed and blacklisted for their political beliefs.","When they tried to silence him, he made the world listen.",Bleecker Street Films;ShivHans Pictures;Groundswell Productions,English,124 min,Color; Black and White,USA,Dolby Digital;Dolby Digital,60,7.5,15000000.0,,,,,975,dollar,,,2015-11-27
975,Pixels,24July2015,Chris Columbus,Tim Herlihy;Timothy Dowling,Adam Sandler;Kevin James;Michelle Monaghan, Animation; Action; Comedy; Sci-Fi,arcade game;alien;video gamer;driving in reverse;chase,"When aliens misinterpret video feeds of classic arcade games as a declaration of war, they attack the Earth in the form of the video games.",Game on.,Columbia Pictures;LStar Capital;China Film Co.,English,106 min,Color,USA,SDDS;Datasat;Dolby Digital;Auro 11.1;Dolby Atmos, ,5.6,88000000.0,24July2015,24011616.0,6November2015,78747585.0,976,dollar,2015-07-24,2015-11-06,2015-07-24
976,Dope,19June2015,Rick Famuyiwa, ,Shameik Moore;Tony Revolori;Kiersey Clemons, Comedy; Crime; Drama,geek;african american;party;hip hop;tomboy,"Life changes for Malcolm, a geek who's surviving life in a tough neighborhood, after a chance invitation to an underground party leads him and his friends into a Los Angeles adventure.",It's hard out here for a geek.,Forest Whitaker's Significant Productions;IamOTHER Entertainment;Revolt Films,English,103 min,Color,USA, , ,7.3,7000000.0,19June2015,6100010.0,11September2015,17474107.0,977,dollar,2015-06-19,2015-09-11,2015-06-19
978,The Night Before,20November2015,Jonathan Levine,Jonathan Levine;Kyle Hunter,Joseph Gordon-Levitt;Seth Rogen;Jillian Bell, Comedy,christmas;christmas party;christmas eve;new york city;manhattan new york city,"On Christmas eve, three lifelong friends spend the night in New York City looking for the Holy Grail of Christmas parties.","Their past, present and future. All in one night.",Columbia Pictures;Good Universe;LStar Capital,English,101 min,Color,USA,Dolby Digital;Datasat,58,6.5,25000000.0,20November2015,9880536.0,8January2016,43035725.0,979,dollar,2015-11-20,2016-01-08,2015-11-20
979,Where to Invade Next,25February2016,Michael Moore, ,Michael Moore;Krista Kiuru;Tim Walker, Documentary,inequality;prison;norway;employer employee relationship;tunisia,"To learn what the USA can learn from other nations, Michael Moore playfully ""invades"" them to see what they have to offer.",Prepare to be liberated,Dog Eat Dog Films;IMG Films,English,120 min,Color,USA,Dolby Digital, ,7.6,,19February2016,564575.0,22April2016,3820195.0,980,dollar,2016-02-19,2016-04-22,2016-02-25
980,The Final Girls,9October2015,Todd Strauss-Schulson,M.A. Fortin;Joshua John Miller,Taissa Farmiga;Malin Akerman;Adam Devine, Comedy; Horror,film within a film;slasher;killer;fire;loss,"A young woman grieving the loss of her mother, a famous scream queen from the 1980s, finds herself pulled into the world of her mom's most famous movie. Reunited, the women must fight off the film's maniacal killer.",,Groundswell Productions;Studio Solutions;Ulterior Productions,English,88 min,Color,USA,Dolby Digital,59,6.6,4500000.0,,,,,981,dollar,,,2015-10-09
983,Self/less,10July2015,Tarsem Singh,David Pastor;Àlex Pastor,Ryan Reynolds;Natalie Martinez;Matthew Goode, Action; Mystery; Sci-Fi; Thriller,cancer;elderly man;medical;slash in title;foreplay,"A dying real estate mogul transfers his consciousness into a healthy young body, but soon finds that neither the procedure nor the company that performed it are quite what they seem.",God created man. Man created immortality.,Endgame Entertainment;Ram Bergman Productions,English,117 min,Color,USA,Dolby Digital, ,6.5,26000000.0,10July2015,5379000.0,21August2015,12276810.0,984,dollar,2015-07-10,2015-08-21,2015-07-10
984,Anomalisa,21January2016, ,Charlie Kaufman;Charlie Kaufman,David Thewlis;Jennifer Jason Leigh;Tom Noonan, Animation; Comedy; Drama; Romance,one night stand;multiple characters voiced by same person;hotel room;sex in hotel room;full frontal male nudity,A man crippled by the mundanity of his life experiences something out of the ordinary.,,Snoot Entertainment;Starburns Industries,English,90 min,Color,USA,Dolby Digital;Datasat, ,7.3,8000000.0,1January2016,135222.0,18March2016,3442820.0,985,dollar,2016-01-01,2016-03-18,2016-01-21
985,Sleeping with Other People,12August2015,Leslye Headland, ,Jason Sudeikis;Alison Brie;Jordan Carlos, Comedy; Drama; Romance,womanizer;reference to columbia university;sex addicts anonymous;hotel;erection,"A good-natured womanizer and a serial cheater form a platonic relationship that helps reform them in ways, while a mutual attraction sets in.",a romantic comedy with commitment issues,Gloria Sanchez Productions;IM Global;Sidney Kimmel Entertainment,English,101 min,Color,USA,Dolby Digital, ,6.5,,11September2015,89102.0,6November2015,814775.0,986,dollar,2015-09-11,2015-11-06,2015-08-12
986,American Ultra,21August2015,Nima Nourizadeh, ,Jesse Eisenberg;Kristen Stewart;Connie Britton, Action; Comedy; Sci-Fi; Thriller,stoner;slacker;small town;cia;watching television,A stoner - who is in fact a government agent - is marked as a liability and targeted for extermination. But he's too well-trained and too high for them to handle.,There's nothing more dangerous than a stoned cold killer,"PalmStar Media;Bridge Finance Company, The;Circle of Confusion",English, ,Color,USA,Auro 11.1;Dolby Digital;DTS,50,6.1,28000000.0,21August2015,5454284.0,2October2015,14434604.0,987,dollar,2015-08-21,2015-10-02,2015-08-21
987,Ithaca,9September2016,Meg Ryan,Erik Jendresen;William Saroyan,Tom Hanks;Meg Ryan;Sam Shepard, Drama, ,"With his older brother off to war, fourteen-year-old telegram messenger Homer Macauley comes of age in the summer of 1942.",Be brave. Do good.,Co-Op Entertainment;Apple Lane Productions;Pilothouse Pictures,English,96 min,Color,USA, , ,5.7,5000000.0,,,,,988,dollar,,,2016-09-09
989,The Sea of Trees,26August2016,Gus Van Sant, ,Matthew McConaughey;Naomi Watts;Ken Watanabe, Drama,forest;suicide;lost;mount fuji;suicide forest,A suicidal American befriends a Japanese man lost in a forest near Mt. Fuji and the two search for a way out.,Love will bring you home.,Bloom;Netter Productions;Waypoint Entertainment,English,110 min,Color,USA,Dolby Digital, ,5.7,25000000.0,26August2016,1877.0,9September2016,20083.0,990,dollar,2016-08-26,2016-09-09,2016-08-26
992,Adulterers,5January2016,H.M. Coakley,H.M. Coakley;H.M. Coakley,Sean Faris;Mehcad Brooks;Danielle Savre, Crime; Drama; Thriller,revenge;male rear nudity;male nudity;female nudity;cheating husband,"A man who returns home to find his wife cheating on him on their anniversary. He holds her and her naked and humiliated lover captive at gunpoint while he decides whether or not he's going ...
                    ;See full summary; »",Love. Betrayal. Vengeance.,HMCE,English,91 min,Color,USA, , ,4.9,750000.0,,,,,993,dollar,,,2016-01-05
993,A Girl Like Her,27March2015,Amy S. Weber, ,Lexi Ainsworth;Hunter King;Jimmy Bennett, Drama,found footage;pseudo documentary;high school;apology;pushing someone,"Jessica Burns enlists the help of her best friend, Brian, in order to document the relentless harassment she's received from her former friend, Avery Keller, one of South Brookdale High School's most popular students.",,Radish Creative Group;Bottom Line Entertainment;Parkside Pictures,English, ,Color,USA, ,54,7.1,,,,,,994,dollar,,,2015-03-27
994,The Meddler,3June2016,Lorene Scafaria, ,Susan Sarandon;Rose Byrne;J.K. Simmons, Comedy; Drama; Romance,apple store;retired cop;overbearing mother;lesbian wedding;mother daughter relationship,An aging widow from New York City follows her daughter to Los Angeles in hopes of starting a new life after her husband passes away.,,Anonymous Content;Stage 6 Films,English,100 min,Color,USA, , ,6.4,3200000.0,22April2016,57022.0,19August2016,4265673.0,995,dollar,2016-04-22,2016-08-19,2016-06-03
996,The Boy Next Door,23January2015,Rob Cohen, ,Jennifer Lopez;Ryan Guzman;Kristin Chenoweth, Mystery; Thriller,older woman younger man relationship;oral sex;argument;sex scene;adultery,"A woman, separated from her unfaithful husband, falls for a younger man who has moved in next door, but their torrid affair soon takes a dangerous turn.","A moment she couldn't resist, an obsession he can't control.",Universal Pictures;Blumhouse Productions;Nuyorican Productions,English,91 min,Color,USA,SDDS;Dolby Digital;Datasat, ,4.6,4000000.0,23January2015,14910105.0,6March2015,35385560.0,997,dollar,2015-01-23,2015-03-06,2015-01-23
997,Freaks of Nature,30October2015, , , , Comedy; Horror; Sci-Fi,minority issues;social issues;ethnical issues;social satire;political satire,,"""Can't we all just get along?""",Columbia Pictures;Sony Pictures Entertainment (SPE),English,92 min,Color,USA,Dolby Digital;Datasat, ,5.9,,,,,,998,dollar,,,2015-10-30
998,Paper Towns,24July2015,Jake Schreier,Scott Neustadter;Michael H. Weber,Nat Wolff;Cara Delevingne;Austin Abrams, Drama; Mystery; Romance,based on novel;friendship;female neighbor;travel;trip,"After an all night adventure, Quentin's life-long crush, Margo, disappears, leaving behind clues that Quentin and his friends follow on the journey of a lifetime.",Get Lost. Get Found.,Fox 2000 Pictures;Temple Hill Entertainment,English,109 min,Color,USA,Dolby Digital,56,6.4,12000000.0,24July2015,12650140.0,9October2015,31990064.0,999,dollar,2015-07-24,2015-10-09,2015-07-24
999,Maggie's Plan,27April2016,Rebecca Miller,Rebecca Miller;Karen Rinaldi,Greta Gerwig;Ethan Hawke;Julianne Moore, Comedy; Drama; Romance,daughter;blended family;little girl;brooklyn new york;new yorker,"Maggie's plan to have a baby on her own is derailed when she falls in love with John, a married man, destroying his volatile marriage to the brilliant and impossible Georgette. But one ...
                    ;See full summary; »",Chapter Two: The Affair Begins,Franklin Street;Freedom Media;Hall Monitor,English,98 min,Color,USA, , ,6.3,,20May2016,63308.0,23September2016,3351230.0,1000,dollar,2016-05-20,2016-09-23,2016-04-27
1001,Sinister 2,21August2015,Ciarán Foy,Scott Derrickson;C. Robert Cargill,James Ransone;Shannyn Sossamon;Robert Daniel Sloan, Horror; Mystery; Thriller,deputy;rural;farmhouse;private investigator;nightmare,A young mother and her twin sons move into a rural house that's marked for death.,"Be Careful, Children at Play",Entertainment One;IM Global;Blumhouse Productions,English,97 min,Color,USA,Dolby Digital, ,5.3,10000000.0,21August2015,10542116.0,23October2015,27736779.0,1002,dollar,2015-08-21,2015-10-23,2015-08-21
1002,The Bronze,18March2016,Bryan Buckley,Melissa Rauch;Winston Rauch,Melissa Rauch;Gary Cole;Haley Lu Richardson, Comedy; Drama,local celebrity;gymnastics;female frontal nudity;male frontal nudity;olympic hopeful,A foul-mouthed former gymnastics bronze medalist with local celebrity status reluctantly trains a rising Olympics aspirant.,There's no place like third.,Duplass Brothers Productions,English,100 min,Color,USA,Dolby Digital,44,6.0,3500000.0,18March2016,386328.0,15April2016,615654.0,1003,dollar,2016-03-18,2016-04-15,2016-03-18
1003,Hot Girls Wanted,29May2015, , ,Farrah Abraham;John Anthony;Rachel Bernard, Documentary,victimization porn;exploring sexuality;independent woman;lust for adventure;sexual adventure,A documentary about young women who have been drawn into the sex trade - and how easy it is for a web-savvy generation to end up making porn.,,Two to Tangle Productions,English,84 min,Color,USA, , ,6.1,,,,,,1004,dollar,,,2015-05-29
1005,Irrational Man,7August2015,Woody Allen, ,Joaquin Phoenix;Emma Stone;Parker Posey, Comedy; Drama,teacher student affair;professor;russian roulette;judge;murder,A tormented philosophy professor finds a will to live when he commits an existential act.,,Gravier Productions,English,95 min,Color,USA,Dolby Digital,53,6.6,11000000.0,17July2015,175312.0,30October2015,4027764.0,1006,dollar,2015-07-17,2015-10-30,2015-08-07
1007,The Lazarus Effect,27February2015,David Gelb,Luke Dawson;Jeremy Slater,Olivia Wilde;Mark Duplass;Evan Peters, Horror; Mystery; Sci-Fi; Thriller,experiment;serum;university;electrocuted;hell,A group of medical researchers discover a way to bring dead patients back to life.,Evil will rise,Blumhouse Productions;Chapter One Films;Lionsgate,English,83 min,Color,USA,Dolby Digital, ,5.2,3300000.0,27February2015,10203437.0,5June2015,25799043.0,1008,dollar,2015-02-27,2015-06-05,2015-02-27
1008,The Stanford Prison Experiment,17July2015,Kyle Patrick Alvarez,Tim Talbott;Philip Zimbardo,Ezra Miller;Tye Sheridan;Billy Crudup, Biography; Drama; History; Thriller,prisoner;prison;experiment;psychology;stanford prison experiment,Twenty-four male students out of seventy-five were selected to take on randomly assigned roles of prisoners and guards in a mock prison situated in the basement of the Stanford psychology building.,They were given 2 weeks. It lasted 6 days.,Coup d'Etat Films;Sandbar Pictures;Abandon Pictures,English,122 min,Color,USA, , ,6.9,,17July2015,37514.0,18September2015,643557.0,1009,dollar,2015-07-17,2015-09-18,2015-07-17
1013,The Diary of a Teenage Girl,28August2015,Marielle Heller,Phoebe Gloeckner;Marielle Heller,Bel Powley;Alexander Skarsgård;Kristen Wiig, Drama; Romance,mother's boyfriend;1970s;overalls;sexual promiscuity;phone booth,A teen artist living in 1970s San Francisco enters into an affair with her mother's boyfriend.,,Caviar;Caviar Films;Cold Iron Pictures,English,102 min,Color,USA, , ,6.9,2000000.0,7August2015,52334.0,23October2015,1477002.0,1014,dollar,2015-08-07,2015-10-23,2015-08-28
1014,Get Hard,27March2015,Etan Cohen,Jay Martel;Ian Roberts,Will Ferrell;Kevin Hart;Alison Brie, Comedy; Crime,singing in a car;millionaire;camera focus on female butt;gay bar;two word title,"When millionaire James King is jailed for fraud and bound for San Quentin, he turns to Darnell Lewis to prep him to go behind bars.",Sometimes you need a hand to get hard.,Gary Sanchez Productions;Warner Bros.,English,100 min,Color,USA,Datasat;Dolby Digital, ,6.1,40000000.0,27March2015,33803253.0,26June2015,90353764.0,1015,dollar,2015-03-27,2015-06-26,2015-03-27
1015,Beasts of No Nation,16October2015,Cary Joji Fukunaga,Cary Joji Fukunaga;Uzodinma Iweala,Abraham Attah;Emmanuel Affadzi;Ricky Adelayitor, Drama; War,child soldier;male frontal nudity;civil war;boy;guerrilla warfare,"A drama based on the experiences of Agu, a child soldier fighting in the civil war of an unnamed African country.",Child. Captive. Killer.,"Princess Grace Foundation, The;Red Crown Productions;Participant Media",English,137 min,Color,USA, , ,7.8,6000000.0,16October2015,51003.0,23October2015,83861.0,1016,dollar,2015-10-16,2015-10-23,2015-10-16
1018,Blackhat,16January2015,Michael Mann, ,Chris Hemsworth;Viola Davis;Wei Tang, Action; Crime; Drama; Mystery; Thriller,hacker;chinese;computer;cybercrime;one word title,A furloughed convict and his American and Chinese partners hunt a high-level cybercrime network from Chicago to Los Angeles to Hong Kong to Jakarta.,We are no longer in control,Forward Pass;Legendary Entertainment,English,133 min,Color,USA,Dolby Digital EX;Datasat;SDDS,51,5.4,70000000.0,16January2015,4415000.0,23January2015,7097125.0,1019,dollar,2015-01-16,2015-01-23,2015-01-16
1019,"Hello, My Name Is Doris",1April2016,Michael Showalter,Laura Terruso;Michael Showalter,Sally Field;Max Greenfield;Tyne Daly, Comedy; Drama; Romance,co worker;sixty something;being followed;following someone;vintage clothing,A self-help seminar inspires a sixty-something woman to romantically pursue her younger co-worker.,She's not ready to act her age,Red Crown Productions;Haven Entertainment;Frame Switch,English,95 min,Color,USA, , ,6.7,1000000.0,11March2016,84985.0,22July2016,14443077.0,1020,dollar,2016-03-11,2016-07-22,2016-04-01
1022,Poltergeist,22May2015,Gil Kenan,David Lindsay-Abaire;Steven Spielberg,Sam Rockwell;Rosemarie DeWitt;Kennedi Clements, Horror; Thriller,brother sister relationship;ghost;cemetery;university;dinner party,A family whose suburban home is haunted by evil forces must come together to rescue their youngest daughter after the apparitions take her captive.,They know what scares you.,Fox 2000 Pictures;Metro-Goldwyn-Mayer (MGM);Ghost House Pictures,English,93 min,Color,USA,Dolby Digital,47,5.0,35000000.0,22May2015,22600000.0,31July2015,47415690.0,1023,dollar,2015-05-22,2015-07-31,2015-05-22
1024,Bleeding Heart,3November2015,Diane Bell, ,Jessica Biel;Zosia Mamet;Joe Anderson, Drama,sex worker;yoga instructor;yoga;pimp boyfriend;pimp,A yoga instructor looks to protect her sex-worker sister from her deadbeat boyfriend.,Tied by blood. Bound by lies.,Super Crispy Entertainment;Fido Features,English,80 min,Color,USA, , ,5.0,,,,,,1025,dollar,,,2015-11-03
1025,The Wedding Ringer,16January2015,Jeremy Garelick,Jeremy Garelick;Jay Lavender,Kevin Hart;Josh Gad;Kaley Cuoco, Comedy,best man;wedding;mud football game;blindfolded;go cart racing,"Two weeks shy of his wedding, a socially awkward guy enters into a charade by hiring the owner of a company that provides best men for grooms in need.",Jimmy is the best friend money can buy. But he's about to take on his biggest challenge.,LStar Capital;Miramax;Screen Gems,English,101 min,Color,USA,Dolby Digital;SDDS;Datasat, ,6.7,23000000.0,16January2015,24500000.0,3April2015,64460211.0,1026,dollar,2015-01-16,2015-04-03,2015-01-16
1027,Careful What You Wish For,10June2016,Elizabeth Allen Rosenbaum, ,Nick Jonas;Kiki Harris;David Sherrill, Drama; Thriller,life insurance policy;life insurance;newspaper headline;investor;blood stain,"A guy gets more than he bargained for after entering into an affair with the wife of an investment banker. Soon, a suspicious death and substantial life insurance policy embroil him in a scandal.",,Troika Pictures;Hyde Park Entertainment;Merced Media Partners,English,91 min,Color,USA,Dolby Digital, ,5.6,8000000.0,,,,,1028,dollar,,,2016-06-10
1028,Run All Night,13March2015,Jaume Collet-Serra, ,Liam Neeson;Ed Harris;Joel Kinnaman, Action; Crime; Drama; Thriller,limousine;death;one night;limousine driver;drug dealer,"Mobster and hit man Jimmy Conlon has one night to figure out where his loyalties lie: with his estranged son, Mike, whose life is in danger, or his longtime best friend, mob boss Shawn Maguire, who wants Mike to pay for the death of his own son.",One night to settle the score.,Warner Bros.;RatPac-Dune Entertainment;Vertigo Entertainment,English,114 min,Color,USA,Dolby Digital;Datasat,59,6.6,50000000.0,13March2015,11012305.0,1May2015,26442251.0,1029,dollar,2015-03-13,2015-05-01,2015-03-13
1029,"McFarland, USA",20February2015,Niki Caro,Christopher Cleveland;Bettina Gilois,Kevin Costner;Maria Bello;Ramiro Rodriguez, Biography; Drama; Sport,place name in title;coach;school;student;high school,Jim White moves his family after losing his last job as a football coach. He sees that some of the students are worth starting a cross-country team and turns seven students with no hope into one of the best cross-country teams.,Champions can come from anywhere,Mayhem Pictures;Walt Disney Pictures,English,129 min,Color,USA,Datasat;Dolby Digital,60,7.4,17000000.0,20February2015,11020798.0,26June2015,44469602.0,1030,dollar,2015-02-20,2015-06-26,2015-02-20
1034,Intruders,15January2016, , , , Drama; Horror; Thriller,agoraphobia;house burnt down;basement stairs;hidden room;home invasion,,They should have left her alone.,Black Fish Films;Campbell Grobman Films;Jeff Rice Films,English,90 min,Color,USA, , ,5.7,,,,,,1035,dollar,,,2016-01-15
1036,Our Brand Is Crisis,30October2015,David Gordon Green,Peter Straughan;Rachel Boynton,Sandra Bullock;Billy Bob Thornton;Anthony Mackie, Comedy; Drama,bolivia;based on documentary;presidential campaign;year 2002;box office flop,"A battle-hardened American political consultant is sent to help re-elect a controversial president in Bolivia, where she must compete with a long-term rival working for another candidate.",May the best campaign win.,Participant Media;Smokehouse Pictures,English,107 min,Color,USA,Datasat;Dolby Digital,53,6.1,28000000.0,30October2015,3238433.0,11December2015,6998324.0,1037,dollar,2015-10-30,2015-12-11,2015-10-30
1037,Jem and the Holograms,23October2015,Jon M. Chu, ,Aubrey Peeples;Stefanie Scott;Aurora Perrineau, Adventure; Drama; Fantasy; Music; Romance; Sci-Fi,box office flop;critically bashed;sister sister relationship;record company;band,"As a small-town girl catapults from underground video sensation to global superstar, she and her three sisters begin a journey of discovering that some talents are too special to keep hidden.",Every Generation Needs a Voice,Allspark Pictures;Blumhouse Productions;Chu Studios,English,118 min,Color,USA,Datasat;SDDS;Dolby Digital,42,4.0,5000000.0,23October2015,1375320.0,30October2015,2028755.0,1038,dollar,2015-10-23,2015-10-30,2015-10-23
1039,Love the Coopers,13November2015,Jessie Nelson, ,Steve Martin;Diane Keaton;John Goodman, Comedy,christmas;large family;family dinner;husband wife conflict;husband wife kiss,"When four generations of the Cooper clan come together for their annual Christmas Eve celebration, a series of unexpected visitors and unlikely events turn the night upside down, leading ...
                    ;See full summary; »",Be thankful the holidays only come around once a year,CBS Films;Groundswell Productions;Imagine Entertainment,English,107 min,Color,USA, , ,5.7,17000000.0,13November2015,8317545.0,8January2016,26284475.0,1040,dollar,2015-11-13,2016-01-08,2015-11-13
1040,Cop Car,7August2015,Jon Watts,Jon Watts;Christopher Ford,Kevin Bacon;James Freedson-Jackson;Hays Wellford, Crime; Thriller,sheriff;stealing a car;police car;police;policeman,A small-town sheriff sets out to find the two kids who have taken his car on a joy ride.,Their first drive could be their last.,Audax Films;Dark Arts Film;End Cue,English,88 min,Color,USA, , ,6.2,,7August2015,26146.0,21August2015,128002.0,1041,dollar,2015-08-07,2015-08-21,2015-08-07
1043,Alvin and the Chipmunks: The Road Chip,18December2015,Walt Becker,Ross Bagdasarian;Janice Karman,Jason Lee;Justin Long;Matthew Gray Gubler, Animation; Adventure; Comedy; Family; Fantasy; Music,chipmunk;plane;box office hit;highway travel;road movie,"Through a series of misunderstandings, Alvin, Simon and Theodore come to believe that Dave is going to propose to his new girlfriend in Miami...and dump them. They have three days to get to him and stop the proposal, saving themselves not only from losing Dave but possibly from gaining a terrible stepbrother.",Boys on the hood,Fox 2000 Pictures;Regency Enterprises;Bagdasarian Productions,English, ,Color,USA,Dolby;Datasat;Dolby Digital;Dolby Surround 7.1, ,5.1,90000000.0,18December2015,14287159.0,13May2016,85884815.0,1044,dollar,2015-12-18,2016-05-13,2015-12-18
1044,Barely Lethal,30April2015,Kyle Newman, ,Jaime King;Samuel L. Jackson;Madeleine Stack, Action; Adventure; Comedy,high school;assassin;teenager;on the run;fugitive,"A teenage special ops agent coveting a ""normal"" adolescence fakes her own death and enrolls in a suburban high school. She quickly learns that surviving the treacherous waters of high school is more challenging than international espionage.",Click. Clique. Bang.,RKO Pictures;Hopscotch Pictures;Main Street Films,English,96 min,Color,USA,Dolby Digital,44,5.3,,,,,,1045,dollar,,,2015-04-30
